facility_name,responsible_emitter,state,industry,erc_fy2024_25,baseline_t,covered_emissions_t,commodity_group
Onslow Haul Road,ONSLOW INFRACO PTY LTD,WA,Road freight transport (461),0.902,100000,126242,other
Opal Australian Paper Maryvale Mill,PAPER AUSTRALIA PTY LTD,VIC,"Pulp, paper and paperboard manufacturing (151)",0.98,219114,173712,other
Orora Glass Plant Gawler,Orora Limited,SA,Glass and glass product manufacturing (201),0.902,153086,134492,other
Otway,BEACH ENERGY LIMITED,VIC,Oil and gas extraction (070),0.902,228318,226056,gas_east
Pacific National National Transport Facility,PACIFIC NATIONAL PTY LTD,National,Rail freight transport (471),0.902,643198,728189,other
Paraburdoo Mine,Hamersley Iron Pty. Limited,WA,Metal ore mining (080),0.902,100000,139337,iron_ore
Parkhurst Magnesia Manufacturing Plant,QMAG PTY LIMITED,QLD,Other non-metallic mineral product manufacturing (209),0.98,264318,264019,other
Peak Downs Mine,BM Alliance Coal Operations Pty Limited,QLD,Coal mining (060),0.902,431563,480592,coal
Phosphate Hill,DYNO NOBEL LIMITED,QLD,Fertiliser and pesticide manufacturing (183),0.98,446062,472151,other
Pilbara Rail Operations,PILBARA IRON PTY LTD,WA,Rail freight transport (471),0.902,569672,651125,other
Pilgangoora Operations,PLS GROUP LIMITED,WA,Metal ore mining (080),0.902,145243,167449,lithium
Pinjarra Alumina Refinery,Alcoa of Australia Limited,WA,Basic non-ferrous metal manufacturing (213),0.902,1434251,1268082,alumina
Pluto LNG,Woodside Burrup Pty. Ltd.,WA,Oil and gas extraction (070),0.902,1743127,1888110,lng
Poitrel Mine,STANMORE RESOURCES LIMITED,QLD,Coal mining (060),0.902,248897,309856,coal
Port Kembla Steelworks,BLUESCOPE STEEL (AIS) PTY. LTD.,NSW,Basic ferrous metal manufacturing (211),0.98,6350820,6061526,steel
Port Latta Pelletising Plant,GRANGE RESOURCES (TASMANIA) PTY LTD,TAS,Basic ferrous product manufacturing (212),0.902,111438,105870,iron_ore
Portland Aluminium Smelter,Alcoa Portland Aluminium Proprietary Limited,VIC,Basic non-ferrous metal manufacturing (213),0.941,563872,600011,aluminium
Premier Coal Mine (Open Cut),Premier Coal Pty Ltd,WA,Coal mining (060),0.902,100000,106030,coal
PRL03 Rail - IOR Facility,BHP IRON ORE PTY LTD,WA,Rail freight transport (471),0.902,503836,552076,other
Qantas Airways Limited - National Facility,Qantas Airways Limited,National,Air and space transport (490),0.902,4404094,4622401,other
QGC Upstream,QGC PTY LIMITED,QLD,Oil and gas extraction (070),0.902,907237,845251,lng
Queensland Alumina Limited Refinery,QUEENSLAND ALUMINA LIMITED,QLD,Basic non-ferrous metal manufacturing (213),0.98,2814233,3169994,alumina
Queensland Curtis LNG Plant,QCLNG Operating Company Pty Ltd,QLD,Oil and gas extraction (070),0.902,1704155,1861809,lng
Queensland Nitrates Ammonium Nitrate Plant,Queensland Nitrates Pty Ltd,QLD,Basic chemical manufacturing (181),0.902,162397,163243,other
Rail,THE PILBARA INFRASTRUCTURE PTY LTD,WA,Rail freight transport (471),0.902,240979,264806,other
Railton,CEMENT AUSTRALIA (GOLIATH) PTY LIMITED,TAS,"Cement, lime, plaster and concrete product manufacturing (203)",0.90892,1026842,1102707,other
Ravenswood Mine,RAVENSWOOD GOLD PTY LTD,QLD,Metal ore mining (080),0.902,214665,143978,gold
Ravensworth Operations,RAVENSWORTH OPERATIONS PTY LIMITED,NSW,Coal mining (060),0.902,295410,331739,coal
Refinery Qld Lytton,Ampol Limited,QLD,Petroleum and coal product manufacturing (170),0.941,596810,644669,other
Rio Tinto Weipa,RTA WEIPA PTY LTD,QLD,Metal ore mining (080),0.902,243584,277044,bauxite
Rio Tinto Yarwun,RTA Yarwun Pty Ltd,QLD,Basic non-ferrous metal manufacturing (213),0.98,1910570,2045310,alumina
Rolleston Coal Mine,ROLLESTON COAL HOLDINGS PTY LIMITED,QLD,Coal mining (060),0.902,181244,196617,coal
Roma Hub,Santos Limited,QLD,Oil and gas extraction (070),0.902,152421,105321,lng
Roy Hill Mine,Roy Hill Holdings Pty Ltd,WA,Metal ore mining (080),0.902,393393,480607,iron_ore
Russell Vale Colliery,WOLLONGONG RESOURCES PTY. LTD.,NSW,Coal mining (060),0.902,89800,160035,coal
Saraji Mine,BM Alliance Coal Operations Pty Limited,QLD,Coal mining (060),0.902,349197,383551,coal
Savage River Mine,GRANGE RESOURCES (TASMANIA) PTY LTD,TAS,Metal ore mining (080),0.902,100000,110066,iron_ore
Sewerage West,Melbourne Water Corporation,VIC,"Water supply, sewerage and drainage services (281)",0.902,128649,146528,other
Sino Iron Project – Cape Preston,CITIC Pacific Mining Management Pty Ltd,WA,Metal ore mining (080),0.902,792477,836882,iron_ore
Solomon Mine,FMG SOLOMON PTY LTD,WA,Metal ore mining (080),0.902,357442,470534,iron_ore
Solomon Power Station,FMG SOLOMON PTY LTD,WA,Electricity generation (261),0.902,474965,436601,iron_ore
South Walker Creek,STANMORE RESOURCES LIMITED,QLD,Coal mining (060),0.902,361841,508592,coal
